Actor1Name,Sector
ACTIVISION BLIZZARD,Information Technology
ADC TELETelecommunications Services,Telecommunications Services
ADTRAN,Financials
AFLAC,Financials
ALASKA Telecommunications Services SYSTEMS GROUP,Industrials
ALLEGHENY TECHNOLOGIES,Materials
ALLOY INC,Materials
AMERICAN TOWER CORPORATION,Real Estate
ANHEUSER BUSCH,Consumer Staples
ANIXTER INTERNATIONAL,Industrials
AOL INC,Information Technology
APPLE INC,Information Technology
APTARGROUP,Materials
ARCHER DANIELS MIDLAND,Consumer Staples
ATLANTIC TELE NETWORK,Telecommunications Services
AUDIOVOX,Information Technology
AVIAT NETWORKS,Information Technology
BANK OF AMERICA,Financials
BLACKROCK,Financials
BOEING,Industrials
BUCKEYE PARTNERS,Energy
CAMBIUM LEARNING GROUP,Consumer Discretionary
CARBO CERAMICS,Energy
CARNIVAL CORPORATION,Consumer Discretionary
CBS CORPORATION,Consumer Discretionary
CENTURYLINK INC,Telecommunications Services
CENVEO INC,Consumer Discretionary
CERNER CORPORATION,Health Care
CHECKPOINT SYSTEMS INC,Information Technology
CHOICE HOTELS INTERNATIONAL,Consumer Discretionary
CIENA CORPORATION,Information Technology
CINCINNATI BELL INC,Financials
CISCO SYSTEMS,Information Technology
CITIGROUP,Financials
CLEARWIRE CORPORATION,Telecommunications Services
COCA COLA,Information Technology
COMCAST,Financials
Telecommunications Services SYSTEMS INC,Telecommunications Services
COMSCORE,Industrials
CONOCOPHILLIPS,Utilities
CORNING INCORPORATED,Consumer Staples
CORRECTIONS CORPORATION OF AMERICA,Financials
COSTCO,Consumer Staples
COURIER CORPORATION,Industrials
COVANCE INC,Health Care
CROWN CASTLE INTERNATIONAL CORPORATION,Financials
CUMMINS INC,Industrials
DAILY JOURNAL CORP,Telecommunications Services
DELL INC,Information Technology
DELTA AIR LINES,Industrials
DELUXE CORPORATION,Financials
DIRECTV,Consumer Discretionary
DISCOVERY Telecommunications Services INC,Consumer Discretionary
DISH NETWORK CORP,Telecommunications Services
DISNEY,Utilities
DREAMWORKS ANIMATION,Industrials
DUKE ENERGY CORP,Utilities
EL PASO ELECTRIC CO,Utilities
ENBRIDGE ENERGY,Energy
ENERGY TRANSFER PARTNERS,Energy
ENTERCOM Telecommunications Services CORPORATION,Telecommunications Services
ENTERGY MISSISSIPPI,Utilities
EQUINIX INC,Real Estate
EQUITY RESIDENTIAL,Financials
ESCO TECHNOLOGIES INC,Industrials
EXPEDIA INC,Consumer Discretionary
EXXON,Energy
EXXON MOBIL,Energy
FIRSTMERIT CORPORATION,Financials
FLUOR CORPORATION,Industrials
FORD MOTOR,Consumer Discretionary
FRANKLIN COVEY,Financials
GANNETT CO,Telecommunications Services
GENCORP,Financials
GENERAL CABLE CORPORATION,Industrials
GENERAL COMMUNICATION INC,Telecommunications Services
GENERAL ELECTRIC,Industrials
GENERAL MILLS,Consumer Staples
GLOBALSTAR INC,Telecommunications Services
GOLDMAN SACHS,Financials
GOOGLE,Information Technology
GRAY TELEVISION INC,Telecommunications Services
HALLIBURTON,Energy
HARTE HANKS,Telecommunications Services
HASBRO,Consumer Discretionary
HESS CORPORATION,Energy
HEWLETT PACKARD,Information Technology
HOME DEPOT INC,Consumer Discretionary
IDEXX LABORATORIES,Health Care
